hex,flight,registration,aircraft,departure_time,departure_lat,departure_lon,departure_iata,departure_name,arrival_time,arrival_lat,arrival_lon,arrival_name,arrival_iata,airline,likely_departure_destination,likely_arrival_destination
a2f016,,N289GX,A320,00:02.5,31.793999,-106.384476,ELP,El Paso International Airport,30:02.2,15.51091,-87.872795,Las Limas,LLH,Global X Airlines,El Paso Service Processing Center,Las Limas
a2c129,TYSON44 ,N277GX,A321,30:02.5,31.794559,-106.385147,ELP,El Paso International Airport,00:02.9,15.595139,-87.800529,Las Limas,LLH,Global X Airlines,El Paso Service Processing Center,Las Limas
a75013,TYSON43 ,N570TA,A321,00:02.2,1.923771,-83.075249,ESM,Esmeraldas Airport,00:02.9,15.590927,-87.752625,Las Limas,LLH,Global X Airlines,Esmeraldas Airport,Las Limas
a2c129,TYSON44 ,N277GX,A321,30:02.5,31.794559,-106.385147,ELP,El Paso International Airport,00:02.9,15.595139,-87.800529,Las Limas,LLH,Global X Airlines,El Paso Service Processing Center,Las Limas
a83f98,TYSON49 ,N630VA,A320,00:01.9,41.579575,-83.836411,TOL,Toledo Express Airport,30:01.7,37.725842,-77.79879,Louisa,LOW,Global X Airlines,Corrections Center of Northwest Ohio (CCNO),Louisa
a2d25e,GXA3086 ,N281GX,A320,30:02.2,38.812778,-76.875275,ADW,Andrews AFB,30:02.6,37.896423,-80.365631,Greenbrier Valley Airport,LWB,Global X Airlines,Andrews AFB,Greenbrier Valley Airport
a2d25e,GXA1610 ,N281GX,A320,00:03.3,35.043686,-89.97081,MEM,Memphis International Airport,30:03.8,38.091614,-80.244316,Greenbrier Valley Airport,LWB,Global X Airlines,Memphis International Airport,Greenbrier Valley Airport
a2d25e,GXA3086 ,N281GX,A320,30:02.2,38.812778,-76.875275,ADW,Andrews AFB,30:02.6,37.896423,-80.365631,Greenbrier Valley Airport,LWB,Global X Airlines,Andrews AFB,Greenbrier Valley Airport
a2c4e0,,N278GX,A320,00:02.4,18.094809,-93.092453,VSA,Carlos Rovirosa Perez International Airport,30:02.2,25.700188,-97.453239,Matamoros Airport,MAM,Global X Airlines,Carlos Rovirosa Perez International Airport,Matamoros Airport
a2c4e0,GXA3171 ,N278GX,A320,00:02.7,25.7952,-80.284676,MIA,Miami International Airport,00:02.8,27.936695,-82.416527,Mac Dill AFB,MCF,Global X Airlines,Krome North Service Processing Center,Mac Dill AFB
ad7274,TYSON41 ,N966AD,A321,00:02.7,41.621887,-87.422707,GYY,GaryChicago International,30:02.7,39.293568,-94.726486,Kansas City International Airport,MCI,Global X Airlines,GaryChicago International,FCI Leavenworth
a75013,,N570TA,A321,30:03.9,41.616699,-87.410004,GYY,GaryChicago International,00:02.3,39.285992,-94.710266,Kansas City International Airport,MCI,Global X Airlines,GaryChicago International,FCI Leavenworth
